scientific_name,vernacular_name,family,establishment_means,degree_of_establishment,match_key,risk_rating,vba_record_count,vba_most_recent_year,inat_record_count,inat_most_recent_date
Acacia acinacea,Gold-dust Wattle,Fabaceae,native,native,acacia acinacea,Not Assessed / No exact match,0.0,,1528.0,2026-08-10T14:39:20
Acacia aculeatissima,Thin-leaf Wattle | Snake Wattle,Fabaceae,native,native,acacia aculeatissima,Not Assessed / No exact match,1.0,1987,561.0,2026-08-06T13:35
Acacia baileyana,Cootamundra Wattle,Fabaceae,introduced,naturalised,acacia baileyana,Moderately High Risk,1.0,2020,734.0,2026-08-09T08:42:51
Acacia boormanii,,Fabaceae,native,native,acacia boormanii,Moderately High Risk,0.0,,30.0,2026-08-04T16:00:55
Acacia brownii,Heath Wattle,Fabaceae,native,native,acacia brownii,Not Assessed / No exact match,0.0,,287.0,2026-08-07T14:34:57
Acacia cultriformis,,Fabaceae,introduced,adventive,acacia cultriformis,Medium Risk,0.0,,5.0,2026-05-13T09:59:41
Acacia dealbata,Silver Wattle,Fabaceae,native,native,acacia dealbata,Not Assessed / No exact match,20.0,2023,2032.0,2026-08-09T10:02:35
Acacia decurrens,Early Black-wattle,Fabaceae,introduced,naturalised,acacia decurrens,High Risk,1.0,2022,288.0,2026-08-10T15:39:43
Acacia elata,Cedar Wattle,Fabaceae,introduced,naturalised,acacia elata,High Risk,0.0,,179.0,2026-07-08T17:11
Acacia genistifolia,Spreading Wattle,Fabaceae,native,native,acacia genistifolia,Not Assessed / No exact match,1.0,1986,1765.0,2026-08-10T15:15:56
Acacia genistifolia subsp. genistifolia,,Fabaceae,native,native,acacia genistifolia subsp genistifolia,Not Assessed / No exact match,1.0,1986,1765.0,2026-08-10T15:15:56
Acacia howittii,Sticky Wattle,Fabaceae,native,native,acacia howittii,High Risk,0.0,,186.0,2026-08-08T12:50:36
Acacia implexa,Lightwood | Hickory Wattle,Fabaceae,native,native,acacia implexa,Not Assessed / No exact match,3.0,2023,875.0,2026-08-04T17:27
Acacia iteaphylla,Flinders Range Wattle | Willow-leaved Wattle,Fabaceae,introduced,naturalised,acacia iteaphylla,Moderately High Risk,0.0,,173.0,2026-07-11T12:39:37
Acacia leprosa,Cinnamon Wattle,Fabaceae,native,native,acacia leprosa,Not Assessed / No exact match,0.0,,82.0,2026-08-01T14:37:31
Acacia leprosa var. uninervia,,Fabaceae,native,native,acacia leprosa subsp uninervia,Not Assessed / No exact match,0.0,,82.0,2026-08-01T14:37:31
Acacia longifolia,,Fabaceae,native,native,acacia longifolia,Not Assessed / No exact match,4.0,2023,1832.0,2026-08-08T15:08:23
Acacia longifolia subsp. longifolia,,Fabaceae,native,native,acacia longifolia subsp longifolia,Very High Risk,4.0,2023,1832.0,2026-08-08T15:08:23
Acacia longifolia subsp. sophorae,,Fabaceae,native,native,acacia longifolia subsp sophorae,Very High Risk,4.0,2023,1832.0,2026-08-08T15:08:23
Acacia mearnsii,Black Wattle,Fabaceae,native,native,acacia mearnsii,Not Assessed / No exact match,18.0,2025,1851.0,2026-08-07T12:46:57
Acacia melanoxylon,Blackwood | Mudgerabah | Hickory | Sally Wattle | Blackwood,Fabaceae,native,native,acacia melanoxylon,Not Assessed / No exact match,15.0,2023,3832.0,2026-08-07T13:34:36
Acacia myrtifolia,Myrtle Wattle,Fabaceae,native,native,acacia myrtifolia,Medium Risk,6.0,2023,1290.0,2026-08-09T10:59
Acacia oxycedrus,Spike Wattle,Fabaceae,native,native,acacia oxycedrus,Not Assessed / No exact match,0.0,,1005.0,2026-08-09T10:05
Acacia paradoxa,Hedge Wattle | Kangaroo Thorn | Prickly Wattle,Fabaceae,native,native,acacia paradoxa,Not Assessed / No exact match,17.0,2023,3688.0,2026-08-10T17:43:14
Acacia pravissima,Ovens Wattle | Wedge-leaf Wattle,Fabaceae,native,native,acacia pravissima,High Risk,1.0,2023,233.0,2026-08-03T15:51:37
Acacia provincialis,Wirilda,Fabaceae,native,native,acacia provincialis,Very High Risk,0.0,,185.0,2026-07-16T13:11:42
Acacia pycnantha,Golden Wattle,Fabaceae,native,native,acacia pycnantha,Medium Risk,16.0,2023,2400.0,2026-08-10T16:00:10
Acacia siculiformis,Dagger Wattle,Fabaceae,native,native,acacia siculiformis,Not Assessed / No exact match,0.0,,2.0,2026-04-04T15:50:58
Acacia stricta,Hop Wattle,Fabaceae,native,native,acacia stricta,Not Assessed / No exact match,1.0,2023,423.0,2026-08-07T16:51:59
Acacia suaveolens,Sweet Wattle,Fabaceae,native,native,acacia suaveolens,Not Assessed / No exact match,0.0,,839.0,2026-08-08T17:14:10
Acacia ulicifolia,Juniper Wattle,Fabaceae,native,native,acacia ulicifolia,Not Assessed / No exact match,0.0,,337.0,2026-08-10T17:41:32
Acacia verticillata,Prickly Moses,Fabaceae,native,native,acacia verticillata,Not Assessed / No exact match,6.0,2023,3044.0,2026-08-10T08:38:37
Acacia verticillata subsp. cephalantha,,Fabaceae,native,native,acacia verticillata subsp cephalantha,Not Assessed / No exact match,6.0,2023,3044.0,2026-08-10T08:38:37
Acacia verticillata subsp. verticillata,,Fabaceae,native,native,acacia verticillata subsp verticillata,Not Assessed / No exact match,6.0,2023,3044.0,2026-08-10T08:38:37
Acaena echinata,Sheep's Burr,Rosaceae,native,native,acaena echinata,Not Assessed / No exact match,1.0,2023,331.0,2026-07-28T12:26:06
Acaena novae-zelandiae,Bidgee-widgee,Rosaceae,native,native,acaena novae-zelandiae,Not Assessed / No exact match,17.0,2023,2941.0,2026-08-09T16:58:07
