scientific_name,vernacular_name,family,establishment_means,degree_of_establishment,match_key,Risk Rating,growth_form,woodiness,life_history,height_min,height_max,griis_listed,griis_is_invasive,vba100_record_count,vba100_most_recent_year,ala_record_count,ala_most_recent_date,recommendation
Acacia acinacea,Gold-dust Wattle,Fabaceae,native,native,acacia acinacea,Not Assessed / No exact match,shrub,woody,perennial,0.3,2.5,True,False,1.0,2006,16.0,2026-08-24T13:04:57Z,Not Assessed
Acacia aculeatissima,Thin-leaf Wattle | Snake Wattle,Fabaceae,native,native,acacia aculeatissima,Not Assessed / No exact match,shrub,woody,perennial,0.3,1.0,False,False,3.0,2000,4.0,2000-10-12T00:00:00Z,Not Assessed
Acacia baileyana,Cootamundra Wattle,Fabaceae,introduced,naturalised,acacia baileyana,Moderately High Risk,shrub tree,woody,perennial,3.0,10.0,True,False,2.0,2000,12.0,2026-04-25T10:35:33Z,Use Caution
Acacia boormanii,,Fabaceae,native,native,acacia boormanii,Moderately High Risk,shrub,woody,perennial,1.0,4.5,False,False,1.0,2019,3.0,2025-07-22T07:07:46Z,Use Caution
Acacia brownii,Heath Wattle,Fabaceae,native,native,acacia brownii,Not Assessed / No exact match,shrub,woody,perennial,0.3,1.0,False,False,1.0,1770,5.0,2025-09-12T09:48:32Z,Not Assessed
Acacia cultriformis,,Fabaceae,introduced,adventive,acacia cultriformis,Medium Risk,shrub,woody,perennial,4.0,4.0,True,False,0.0,No local records found,1.0,,Use Caution
Acacia dealbata,Silver Wattle,Fabaceae,native,native,acacia dealbata,Medium Risk,shrub tree,woody,perennial,1.5,33.0,True,False,9.0,2024,106.0,2026-07-24T15:46:09Z,Use Caution
Acacia decurrens,Early Black-wattle,Fabaceae,introduced,naturalised,acacia decurrens,High Risk,tree,woody,perennial,2.0,15.0,True,False,2.0,2000,7.0,2025-08-25T13:21:00Z,Reconsider Planting
Acacia elata,Cedar Wattle,Fabaceae,introduced,naturalised,acacia elata,High Risk,tree,woody,perennial,5.0,30.0,True,False,2.0,2013,4.0,2025-01-06T19:12:16Z,Reconsider Planting
Acacia genistifolia,Spreading Wattle,Fabaceae,native,native,acacia genistifolia,Not Assessed / No exact match,shrub,woody,perennial,0.6,3.0,False,False,5.0,1975,20.0,2026-08-15T13:54:59Z,Not Assessed
Acacia genistifolia subsp. genistifolia,,Fabaceae,native,native,acacia genistifolia,Not Assessed / No exact match,shrub,woody,perennial,0.6,3.0,False,False,5.0,1975,20.0,2026-08-15T13:54:59Z,Not Assessed
Acacia howittii,Sticky Wattle,Fabaceae,native,native,acacia howittii,High Risk,shrub tree,woody,perennial,3.0,9.0,True,False,1.0,1985,1.0,1985-11-28T00:00:00Z,Reconsider Planting
Acacia implexa,Lightwood | Hickory Wattle,Fabaceae,native,native,acacia implexa,Not Assessed / No exact match,tree,woody,perennial,3.0,15.0,False,False,3.0,2006,25.0,2026-04-24T08:05:08Z,Not Assessed
Acacia iteaphylla,Flinders Range Wattle | Willow-leaved Wattle,Fabaceae,introduced,naturalised,acacia iteaphylla,Moderately High Risk,shrub,woody,perennial,2.0,5.0,True,False,0.0,No local records found,4.0,2025-04-08T12:32:45Z,Use Caution
Acacia leprosa,Cinnamon Wattle,Fabaceae,native,native,acacia leprosa,Not Assessed / No exact match,shrub,woody,perennial,1.0,12.0,False,False,0.0,No local records found,0.0,No local records found,Not Assessed
Acacia leprosa var. uninervia,,Fabaceae,native,native,acacia leprosa,Not Assessed / No exact match,shrub,woody,perennial,1.0,12.0,False,False,0.0,No local records found,0.0,No local records found,Not Assessed
Acacia longifolia,,Fabaceae,native,native,acacia longifolia,Very High Risk,shrub tree,woody,perennial,0.2,10.0,True,False,4.0,2009,22.0,2026-08-21T15:32:51Z,Reconsider Planting
Acacia longifolia subsp. longifolia,,Fabaceae,native,native,acacia longifolia,Very High Risk,shrub tree,woody,perennial,0.2,10.0,True,False,4.0,2009,22.0,2026-08-21T15:32:51Z,Reconsider Planting
Acacia longifolia subsp. sophorae,,Fabaceae,native,native,acacia longifolia,Very High Risk,shrub tree,woody,perennial,0.2,10.0,True,False,4.0,2009,22.0,2026-08-21T15:32:51Z,Reconsider Planting
Acacia mearnsii,Black Wattle,Fabaceae,native,native,acacia mearnsii,Not Assessed / No exact match,tree,woody,perennial,3.0,25.0,False,False,18.0,2024,88.0,2026-08-21T16:38:16Z,Not Assessed
Acacia melanoxylon,Blackwood | Mudgerabah | Hickory | Sally Wattle | Blackwood,Fabaceae,native,native,acacia melanoxylon,Not Assessed / No exact match,tree,woody,perennial,1.5,45.0,False,False,17.0,2024,117.0,2026-08-15T13:43:41Z,Not Assessed
Acacia myrtifolia,Myrtle Wattle,Fabaceae,native,native,acacia myrtifolia,Medium Risk,shrub,woody,perennial,0.3,3.0,False,False,1.0,1980,46.0,2026-08-15T13:55:25Z,Use Caution
Acacia oxycedrus,Spike Wattle,Fabaceae,native,native,acacia oxycedrus,Not Assessed / No exact match,shrub,woody,perennial,1.0,10.0,False,False,2.0,1903,10.0,2026-06-01T08:03:20Z,Not Assessed
Acacia paradoxa,Hedge Wattle | Kangaroo Thorn | Prickly Wattle,Fabaceae,native,native,acacia paradoxa,Not Assessed / No exact match,shrub,woody,perennial,1.0,5.0,True,False,14.0,2010,123.0,2026-08-23T10:46:00Z,Not Assessed
Acacia pravissima,Ovens Wattle | Wedge-leaf Wattle,Fabaceae,native,native,acacia pravissima,High Risk,shrub tree,woody,perennial,1.0,8.0,True,False,3.0,2009,8.0,2026-09-03T07:35:41Z,Reconsider Planting
Acacia provincialis,Wirilda,Fabaceae,native,native,acacia provincialis,Very High Risk,shrub tree,woody,perennial,5.0,10.0,True,False,3.0,2006,3.0,2006-10-10T00:00:00Z,Reconsider Planting
Acacia pycnantha,Golden Wattle,Fabaceae,native,native,acacia pycnantha,Medium Risk,shrub tree,woody,perennial,2.0,10.0,True,False,6.0,2022,41.0,2026-09-01T18:00:38Z,Use Caution
Acacia siculiformis,Dagger Wattle,Fabaceae,native,native,acacia siculiformis,Not Assessed / No exact match,shrub,woody,perennial,0.5,3.000000001,False,False,0.0,No local records found,1.0,1894-12-05T00:00:00Z,Not Assessed
Acacia stricta,Hop Wattle,Fabaceae,native,native,acacia stricta,Not Assessed / No exact match,shrub,woody,perennial,1.0,6.0,False,False,3.0,2009,8.0,2023-08-08T00:00:00Z,Not Assessed
Acacia suaveolens,Sweet Wattle,Fabaceae,native,native,acacia suaveolens,Not Assessed / No exact match,shrub,woody,perennial,0.3,3.0,False,False,0.0,No local records found,1.0,2012-08-29T11:50:00Z,Not Assessed
