id,scientific_name,scientific_name_authorship,taxon_rank,accepted_name_usage,taxonomic_status,occurrence_status,establishment_means,degree_of_establishment,vernacular_name,accepted_name_usage_id,has_introduced_occurrences,family
63bd1b91-99f6-4eff-b093-675b249e7aad,"Acacia acinacea",Lindl.,species,,accepted,present,native,native,"Gold-dust Wattle",,,Fabaceae
72dd0540-6407-42f7-aa78-d90a36a66e82,"Acacia aculeatissima","J.F.Macbr.   ",species,,accepted,present,native,native,"Thin-leaf Wattle | Snake Wattle",,,Fabaceae
238b3bfd-4a0c-4638-b928-485897ec580d,"Acacia baileyana",F.Muell.,species,,accepted,present,introduced,naturalised,"Cootamundra Wattle",,,Fabaceae
424647e8-19d1-49dd-9a05-9285475d54a3,"Acacia boormanii",Maiden,species,,accepted,present,native,native,,,1,Fabaceae
3b409aa5-3392-4d3a-affe-c74116ef1553,"Acacia brownii","(Poir.) Steud.",species,,accepted,present,native,native,"Heath Wattle",,,Fabaceae
76abff97-353c-4dcb-9c1b-a4beacdd8371,"Acacia cultriformis","A.Cunn. ex G.Don",species,,accepted,present,introduced,adventive,,,,Fabaceae
0c8e21a6-fe09-4835-84e1-d9531ad24728,"Acacia dealbata",Link,species,,accepted,present,native,native,"Silver Wattle",,,Fabaceae
450d5c45-2a9e-4975-800e-8bb891debdc1,"Acacia decurrens",Willd.,species,,accepted,present,introduced,naturalised,"Early Black-wattle",,,Fabaceae
05c9d5ce-b88d-4671-92a6-4efa7a6fee0d,"Acacia elata","A.Cunn. ex Benth.",species,,accepted,present,introduced,naturalised,"Cedar Wattle",,,Fabaceae
eea96412-e771-4d26-8263-45c5f9bfd414,"Acacia genistifolia",Link,species,,accepted,present,native,native,"Spreading Wattle",,,Fabaceae
f2d57523-a804-4a84-b98c-b4a25637b5c5,"Acacia genistifolia subsp. genistifolia",,subspecies,,accepted,present,native,native,,,,Fabaceae
f9d0ac14-065c-462d-a5f5-565343ef3761,"Acacia howittii",F.Muell.,species,,accepted,present,native,native,"Sticky Wattle",,1,Fabaceae
7d607d97-2df6-4817-8415-3a82555bce42,"Acacia implexa",Benth.,species,,accepted,present,native,native,"Lightwood | Hickory Wattle",,,Fabaceae
9be0f6d3-1f3e-4cb7-b096-76e30c1fc02f,"Acacia iteaphylla","F.Muell. ex Benth.",species,,accepted,present,introduced,naturalised,"Flinders Range Wattle | Willow-leaved Wattle",,,Fabaceae
da49fd90-e9b7-4041-bd31-e7510215bead,"Acacia leprosa","Sieber ex DC.",species,,accepted,present,native,native,"Cinnamon Wattle",,,Fabaceae
41778fcb-5b12-4bc0-9fff-bec041c347bc,"Acacia leprosa var. uninervia","Maslin & D.J.Murphy",variety,,accepted,present,native,native,,,,Fabaceae
6fbc322c-cdf2-4526-a261-353a4a41f290,"Acacia longifolia","(Andrews) Willd.",species,,accepted,present,native,native,,,,Fabaceae
44e79a17-8e5e-4988-a39c-35e1f35a1364,"Acacia longifolia subsp. longifolia",,subspecies,,accepted,present,native,native,,,1,Fabaceae
032751af-9771-46f8-99f0-dd6da352096f,"Acacia longifolia subsp. sophorae","(Labill.) Court",subspecies,,accepted,present,native,native,,,1,Fabaceae
a72a846c-7a92-4a4a-8dca-e2582a0f393e,"Acacia mearnsii","De Wild.",species,,accepted,present,native,native,"Black Wattle",,,Fabaceae
a7b5e691-0803-40d6-a1d4-dd96e54720a0,"Acacia melanoxylon",R.Br.,species,,accepted,present,native,native,"Blackwood | Mudgerabah | Hickory | Sally Wattle | Blackwood",,,Fabaceae
71f40fab-0f6d-4b84-8e37-bbfae90b13d4,"Acacia myrtifolia","(Sm.) Willd.",species,,accepted,present,native,native,"Myrtle Wattle",,,Fabaceae
6c44588e-53df-47cd-8c1c-70cba14758f7,"Acacia oxycedrus","Sieber ex DC.",species,,accepted,present,native,native,"Spike Wattle",,,Fabaceae
fc1c0e04-bf6f-4220-aac8-7a26a9eb36dc,"Acacia paradoxa",DC.,species,,accepted,present,native,native,"Hedge Wattle | Kangaroo Thorn | Prickly Wattle",,,Fabaceae
86b75989-5d25-4071-8b70-6d1696287d3b,"Acacia pravissima",F.Muell.,species,,accepted,present,native,native,"Ovens Wattle | Wedge-leaf Wattle",,1,Fabaceae
70059a9d-a1fc-46b1-8339-0034360edf0c,"Acacia provincialis",A.Camus,species,,accepted,present,native,native,Wirilda,,1,Fabaceae
20f70d14-0560-467d-a05e-e23eefc93ac6,"Acacia pycnantha",Benth.,species,,accepted,present,native,native,"Golden Wattle",,,Fabaceae
5cbe32aa-1014-4ceb-97b9-ac492e7950a6,"Acacia siculiformis","A.Cunn. ex Benth.",species,,accepted,present,native,native,"Dagger Wattle",,,Fabaceae
20306051-ddde-458d-98cb-86d1d3b5393a,"Acacia stricta","(Andrews) Willd.",species,,accepted,present,native,native,"Hop Wattle",,,Fabaceae
4d90c72f-8085-4654-8d36-4cf4398252c4,"Acacia suaveolens","(Sm.) Willd.",species,,accepted,present,native,native,"Sweet Wattle",,,Fabaceae
0ec6ff94-353e-4a16-9bcf-dd98980db575,"Acacia ulicifolia","(Salisb.) Court",species,,accepted,present,native,native,"Juniper Wattle",,,Fabaceae
4014dc41-ab27-44fa-aef9-d109934061b9,"Acacia verticillata","(L’Hér.) Willd.",species,,accepted,present,native,native,"Prickly Moses",,,Fabaceae
2708b884-ab7d-4963-b659-7d6a39235bd5,"Acacia verticillata subsp. cephalantha","(F.Muell.) Court",subspecies,,accepted,present,native,native,,,,Fabaceae
2cae18e2-9490-44ab-bc9d-3de1c69746b9,"Acacia verticillata subsp. verticillata",,subspecies,,accepted,present,native,native,,,,Fabaceae
7fb6e40c-e46c-434e-a318-b3ff0e20c4b8,"Acaena echinata",Nees,species,,accepted,present,native,native,"Sheep's Burr",,,Rosaceae
4dc33918-59b1-4f71-9702-928c603f44eb,"Acaena novae-zelandiae",Kirk,species,,accepted,present,native,native,Bidgee-widgee,,,Rosaceae
0f44f2f6-9243-476f-9aad-37141fadb6ac,"Acaena ×ovina",A.Cunn.,species,,accepted,present,native,native,"Sheep's Burr",,,Rosaceae
a4ac9cf5-f2c5-4c79-8ba6-7903fe1a4523,"Acanthus mollis",L.,species,,accepted,present,introduced,naturalised,"Bear's Breech",,,Acanthaceae
43af663c-4702-47b2-9147-095d2fc79048,"Acer negundo",L.,species,,accepted,present,introduced,naturalised,"Box Elder",,,Sapindaceae
82987ef3-32a0-4090-aca3-9ae8ea48a071,"Acetosella vulgaris",Fourr.,species,,accepted,present,introduced,naturalised,"Sheep Sorrel",,,Polygonaceae
adfd303d-5dc8-470f-98d1-6e1cfaa2ff44,"Achrophyllum dentatum","(Hook.f. & Wilson) Vitt & Crosby",species,,accepted,present,native,native,,,,Daltoniaceae
1548ca6a-621b-4eef-b1e1-f50266c38909,"Acianthus pusillus",D.L.Jones,species,,accepted,present,native,native,"Small Mosquito Orchid",,,Orchidaceae
881b144b-b599-41ce-8ee4-b6d705881649,"Acrocladium chlamydophyllum","(Hook.f. & Wilson) Müll.Hal. & Broth.",species,,accepted,present,native,native,,,,Acrocladiaceae
94ad4263-480e-4d4c-bf73-3c0b0573ff4e,"Acrotriche serrulata","(Labill.) R.Br.",species,,accepted,present,native,native,Honey-pots,,,Ericaceae
7ae5329e-dec7-4932-b377-f4d121ff95f9,"Adiantum aethiopicum",L.,species,,accepted,present,native,native,"Common Maidenhair",,1,Pteridaceae
9af576d9-07e9-4491-84b0-3de71adbe509,"Agapanthus praecox",Willd.,species,,accepted,present,introduced,,,,,Amaryllidaceae
f4b0a03e-9739-42dd-9bff-9b1dc3ce0459,"Agapanthus praecox subsp. orientalis","(F.M.Leight.) F.M.Leight.",subspecies,,accepted,present,introduced,naturalised,Agapanthus,,,Amaryllidaceae
f2c8989a-4e8b-46e1-b80f-57a98c6d79fc,"Agrostis capillaris",L.,species,,accepted,present,introduced,,"Brown-top Bent",,,Poaceae
567ed900-e7ba-4aa7-8935-920ee901afc2,"Agrostis capillaris var. capillaris",,variety,,accepted,present,introduced,naturalised,,,,Poaceae
79bf0cc5-2a4b-4f2b-a458-ab042d7f60a2,"Agrostis stolonifera",L.,species,,accepted,present,introduced,naturalised,"Creeping Bent",,,Poaceae
cd44a568-359a-4e20-9f66-f30126ea9aa7,"Aira elegantissima",Schur,species,,accepted,present,introduced,naturalised,,,,Poaceae
